BASIN,DATE,TIME,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
NA,5/31/2007,0:00:00,DS,18.1,-87,25,1008,25,1008
NA,5/31/2007,3:00:00,DS,18.42,-86.95,,,25,1007
NA,5/31/2007,6:00:00,DS,18.7,-86.9,25,1007,25,1007
NA,5/31/2007,9:00:00,DS,18.91,-86.86,,,25,1006
NA,5/31/2007,12:00:00,DS,19.1,-86.8,25,1006,25,1006
NA,5/31/2007,15:00:00,DS,19.34,-86.74,,,25,1005
NA,5/31/2007,18:00:00,DS,19.6,-86.6,25,1005,25,1005
NA,5/31/2007,21:00:00,DS,19.81,-86.3,,,25,1005
NA,6/1/2007,0:00:00,DS,20.1,-86,25,1005,25,1005
NA,6/1/2007,3:00:00,DS,20.6,-85.85,,,25,1005
NA,6/1/2007,6:00:00,DS,21.2,-85.8,25,1005,25,1005
NA,6/1/2007,9:00:00,DS,21.73,-85.79,,,27,1004
NA,6/1/2007,12:00:00,TS,22.3,-85.8,30,1004,30,1004
NA,6/1/2007,15:00:00,TS,22.98,-85.79,,,35,1002
NA,6/1/2007,18:00:00,TS,23.6,-85.7,40,1000,40,1000
NA,6/1/2007,21:00:00,TS,23.99,-85.49,,,45,998
NA,6/2/2007,0:00:00,TS,24.3,-85.2,50,997,50,997
NA,6/2/2007,3:00:00,TS,24.61,-84.97,,,47,997
NA,6/2/2007,6:00:00,TS,25.1,-84.6,45,998,45,998
NA,6/2/2007,9:00:00,TS,26.03,-83.96,,,42,999
NA,6/2/2007,12:00:00,TS,27,-83.2,40,1000,40,1000
NA,6/2/2007,14:00:00,TS,27.5,-82.7,30,1000,30,1000
NA,6/2/2007,15:00:00,TS,27.96,-82.51,,,30,1000
NA,6/2/2007,18:00:00,TS,29.7,-82.1,30,1001,30,1001
NA,6/2/2007,21:00:00,TS,30.77,-81.71,,,32,999
NA,6/3/2007,0:00:00,ET,31.4,-81.4,35,997,35,997
NA,6/3/2007,3:00:00,ET,31.82,-81.22,,,37,995
NA,6/3/2007,6:00:00,ET,32.1,-81,40,994,40,994
NA,6/3/2007,9:00:00,ET,32.43,-80.59,,,40,994
NA,6/3/2007,12:00:00,ET,32.8,-80,40,994,40,994
NA,6/3/2007,15:00:00,ET,33.18,-79.3,,,40,994
NA,6/3/2007,18:00:00,ET,33.7,-78.4,40,994,40,994
NA,6/3/2007,21:00:00,ET,34.43,-77.19,,,40,993
NA,6/4/2007,0:00:00,ET,35.3,-76,40,992,40,992
NA,6/4/2007,3:00:00,ET,36.23,-75.22,,,40,991
NA,6/4/2007,6:00:00,ET,37.2,-74.6,40,990,40,990
NA,6/4/2007,9:00:00,ET,38.11,-73.88,,,40,990
NA,6/4/2007,12:00:00,ET,39,-73.2,40,990,40,990
NA,6/4/2007,15:00:00,ET,39.86,-72.64,,,37,990
NA,6/4/2007,18:00:00,ET,40.7,-72.1,35,991,35,991
NA,6/4/2007,21:00:00,ET,41.51,-71.46,,,35,991
NA,6/5/2007,0:00:00,ET,42.4,-70.8,35,992,35,992
NA,6/5/2007,3:00:00,ET,43.41,-70.13,,,32,992
NA,6/5/2007,6:00:00,ET,44.6,-69.5,30,992,30,992
NA,6/5/2007,9:00:00,ET,45.99,-68.97,,,30,992
NA,6/5/2007,12:00:00,ET,47.5,-68.5,30,992,30,992