DATE,ISO_TIME,NATURE,LAT,LON,WMO WIND,WMO PRES,USA WIND,USA PRES
8/24/10,0:00:00,DS,12.4,-19.3,25,1009,25,1009
8/24/10,3:00:00,DS,12.6,-20.09,,,25,1009
8/24/10,6:00:00,DS,12.8,-20.9,25,1009,25,1009
8/24/10,9:00:00,DS,13,-21.74,,,27,1008
8/24/10,12:00:00,DS,13.2,-22.6,30,1008,30,1008
8/24/10,15:00:00,DS,13.41,-23.45,,,30,1008
8/24/10,18:00:00,DS,13.6,-24.3,30,1008,30,1008
8/24/10,21:00:00,DS,13.76,-25.14,,,30,1008
8/25/10,0:00:00,DS,13.9,-26,30,1008,30,1008
8/25/10,3:00:00,DS,14.01,-26.89,,,30,1007
8/25/10,6:00:00,TS,14.1,-27.8,30,1007,30,1007
8/25/10,9:00:00,TS,14.2,-28.75,,,32,1006
8/25/10,12:00:00,TS,14.3,-29.7,35,1006,35,1006
8/25/10,15:00:00,TS,14.4,-30.63,,,35,1006
8/25/10,18:00:00,TS,14.5,-31.5,35,1006,35,1006
8/25/10,21:00:00,TS,14.6,-32.27,,,35,1006
8/26/10,0:00:00,TS,14.7,-33,35,1006,35,1006
8/26/10,3:00:00,TS,14.8,-33.75,,,37,1005
8/26/10,6:00:00,TS,14.9,-34.5,40,1004,40,1004
8/26/10,9:00:00,TS,15,-35.24,,,40,1004
8/26/10,12:00:00,TS,15.1,-36,40,1004,40,1004
8/26/10,15:00:00,TS,15.2,-36.84,,,40,1004
8/26/10,18:00:00,TS,15.3,-37.7,40,1004,40,1004
8/26/10,21:00:00,TS,15.4,-38.54,,,40,1004
8/27/10,0:00:00,TS,15.5,-39.4,40,1004,40,1004
8/27/10,3:00:00,TS,15.61,-40.28,,,40,1004
8/27/10,6:00:00,TS,15.7,-41.2,40,1004,40,1004
8/27/10,9:00:00,TS,15.76,-42.14,,,40,1004
8/27/10,12:00:00,TS,15.8,-43.1,40,1004,40,1004
8/27/10,15:00:00,TS,15.85,-44.04,,,40,1004
8/27/10,18:00:00,TS,15.9,-45,40,1004,40,1004
8/27/10,21:00:00,TS,15.95,-45.99,,,42,1002
8/28/10,0:00:00,TS,16,-47,45,1000,45,1000
8/28/10,3:00:00,TS,16.05,-48,,,47,998
8/28/10,6:00:00,TS,16.1,-49,50,996,50,996
8/28/10,9:00:00,TS,16.15,-50,,,50,996
8/28/10,12:00:00,TS,16.2,-51,50,996,50,996
8/28/10,15:00:00,TS,16.24,-52.02,,,50,996
8/28/10,18:00:00,TS,16.3,-53,50,996,50,996
8/28/10,21:00:00,TS,16.39,-53.92,,,52,993
8/29/10,0:00:00,TS,16.5,-54.8,55,991,55,991
8/29/10,3:00:00,TS,16.59,-55.67,,,55,991
8/29/10,6:00:00,TS,16.7,-56.5,55,991,55,991
8/29/10,9:00:00,TS,16.84,-57.28,,,60,988
8/29/10,12:00:00,TS,17,-58,65,985,65,985
8/29/10,15:00:00,TS,17.14,-58.67,,,70,981
8/29/10,18:00:00,TS,17.3,-59.3,75,978,75,978
8/29/10,21:00:00,TS,17.49,-59.95,,,80,974
8/30/10,0:00:00,TS,17.7,-60.6,85,971,85,971
8/30/10,3:00:00,TS,17.9,-61.26,,,90,969
8/30/10,6:00:00,TS,18.1,-61.9,95,967,95,967
8/30/10,9:00:00,TS,18.29,-62.52,,,100,966
8/30/10,12:00:00,TS,18.5,-63.1,105,965,105,965
8/30/10,15:00:00,TS,18.73,-63.66,,,110,959
8/30/10,18:00:00,TS,19,-64.2,115,954,115,954
8/30/10,21:00:00,TS,19.29,-64.75,,,115,946
8/31/10,0:00:00,TS,19.6,-65.3,115,938,115,938
8/31/10,3:00:00,TS,19.89,-65.85,,,115,934
8/31/10,6:00:00,TS,20.2,-66.4,115,931,115,931
8/31/10,9:00:00,TS,20.54,-66.97,,,115,933
8/31/10,12:00:00,TS,20.9,-67.5,115,935,115,935
8/31/10,15:00:00,TS,21.23,-67.96,,,115,937
8/31/10,18:00:00,TS,21.6,-68.4,115,940,115,940
8/31/10,21:00:00,TS,22.02,-68.89,,,112,940
9/1/10,0:00:00,TS,22.5,-69.4,110,940,110,940
9/1/10,3:00:00,TS,23.03,-69.94,,,107,940
9/1/10,6:00:00,TS,23.6,-70.5,105,941,105,941
9/1/10,9:00:00,TS,24.14,-71.05,,,107,941
9/1/10,12:00:00,TS,24.7,-71.6,110,942,110,942
9/1/10,15:00:00,TS,25.29,-72.17,,,112,941
9/1/10,18:00:00,TS,25.9,-72.7,115,941,115,941
9/1/10,21:00:00,TS,26.53,-73.12,,,117,936
9/2/10,0:00:00,TS,27.2,-73.5,120,932,120,932
9/2/10,3:00:00,TS,27.89,-73.92,,,122,929
9/2/10,6:00:00,TS,28.6,-74.3,125,927,125,927
9/2/10,9:00:00,TS,29.33,-74.59,,,120,931
9/2/10,12:00:00,TS,30.1,-74.8,115,935,115,935
9/2/10,15:00:00,TS,30.91,-75,,,107,939
9/2/10,18:00:00,TS,31.7,-75.1,100,943,100,943
9/2/10,21:00:00,TS,32.36,-75.07,,,95,946
9/3/10,0:00:00,TS,33,-74.9,90,949,90,949
9/3/10,3:00:00,TS,33.73,-74.6,,,87,952
9/3/10,6:00:00,TS,34.5,-74.2,85,955,85,955
9/3/10,9:00:00,TS,35.3,-73.84,,,80,957
9/3/10,12:00:00,TS,36.1,-73.4,75,959,75,959
9/3/10,15:00:00,TS,36.86,-72.86,,,72,959
9/3/10,18:00:00,TS,37.6,-72.2,70,960,70,960
9/3/10,21:00:00,TS,38.34,-71.47,,,65,960
9/4/10,0:00:00,TS,39.1,-70.6,60,961,60,961
9/4/10,3:00:00,TS,39.84,-69.58,,,60,961
9/4/10,6:00:00,TS,40.7,-68.4,60,961,60,961
9/4/10,9:00:00,TS,41.77,-67.05,,,62,961
9/4/10,12:00:00,TS,43,-65.7,65,961,65,961
9/4/10,15:00:00,TS,44.3,-64.5,65,962,65,962
9/4/10,18:00:00,TS,45.5,-63.2,65,965,65,965
9/4/10,19:00:00,TS,46,-62.7,60,967,60,967
9/4/10,21:00:00,TS,47,-61.69,,,58,968
9/5/10,0:00:00,ET,48.4,-60.2,55,971,55,971
9/5/10,3:00:00,ET,49.58,-58.78,,,52,974
9/5/10,6:00:00,ET,50.6,-57.5,50,978,50,978
9/5/10,9:00:00,ET,51.54,-56.34,,,47,982
9/5/10,12:00:00,ET,52.4,-55.4,45,987,45,987
9/5/10,15:00:00,ET,53.21,-54.63,,,42,989
9/5/10,18:00:00,ET,54,-54.1,40,992,40,992
9/5/10,21:00:00,ET,54.84,-53.75,,,37,993
9/6/10,0:00:00,ET,55.7,-53.5,35,994,35,994